,Constant,Continue,IfExp,NotEq,JoinedStr,DictComp,ListComp,Dict,Div,UnaryOp,Expr,comprehension,IsNot,LtE,FloorDiv,FunctionDef,Return,While,Add,Raise,Slice,ClassDef,Sub,Is,Import,GtE,Delete,BinOp,Yield,arguments,Eq,Lt,Lambda,BoolOp,Not,Module,Try,Gt,Del,With,Mult,alias,Mod,FormattedValue,Store,ImportFrom,Name,AnnAssign,NotIn,In,Starred,And,keyword,GeneratorExp,Or,Subscript,arg,Load,Index,Attribute,withitem,Call,ExceptHandler,List,AugAssign,Set,For,USub,If,Assign,Tuple,Compare
0,-15.251107,-4.121473,-13.015402,2.390947,-10.533485,-7.4428024,-15.093228,-12.651114,-4.925013,-11.922944,-8.628948,-16.103598,-11.726875,-0.24431479,-2.8346858,-9.791448,-9.51888,-1.6190482,-12.864491,-12.453315,-9.21175,-3.3416622,-12.025263,-8.274764,-14.142452,-4.072125,0.024846522,-17.082615,-5.3747306,-14.1615095,-8.334562,-5.3369465,-7.2875896,-11.79147,0.92652005,-7.4634023,-12.376204,-9.765921,-1.3285903,-0.65023553,1.6979846,-16.528582,0.1063043,-7.8599257,-8.861656,-8.464312,-13.9958935,-12.604724,-0.6768866,-13.471861,1.113836,-7.8082814,-8.398557,-7.6403446,-12.196781,-16.634382,-7.3736744,-8.304663,-11.296888,-7.508841,1.3371397,-7.5498266,-6.436822,-8.886661,-7.0971823,-3.5494745,-9.358485,-12.175411,-17.404575,-7.1518683,-12.931676,-13.167283
1,7.0438347,0.89177835,4.8006396,2.4926176,12.695178,3.7846856,5.4748917,4.919159,-0.7687129,10.771507,1.8647442,9.537222,2.186539,1.2670546,2.733239,4.712866,7.166361,-0.9552237,8.557552,5.712274,4.378294,-0.48537132,5.4116645,6.034736,10.865825,2.5234876,-0.19865918,8.029568,1.0341238,4.0098047,2.2974164,0.36830983,2.7158656,4.2216606,-0.6926243,0.8805238,2.913909,1.0775168,4.085236,2.7332225,-0.080808796,11.725269,-1.667862,3.092023,1.8455265,7.1508794,5.167172,2.2776673,-1.3261503,4.2125154,-0.22400697,4.05475,4.131728,0.7206878,4.5011077,7.740123,7.1274624,2.8879592,2.7940452,4.3814373,-1.3682394,1.9361303,4.125028,5.154221,-0.09496078,-1.5087223,7.2185984,8.090321,6.0243,5.9779935,8.546865,5.3678427
2,59.788574,9.809418,42.745445,2.9534605,59.12072,21.360718,48.80147,40.355198,3.902773,59.499992,40.12348,52.471222,36.578407,11.824493,5.570118,53.32514,46.126644,20.121126,50.312878,44.196514,44.461105,17.90047,38.33579,33.763596,52.648758,9.607198,10.914646,64.2094,28.05561,36.54591,35.379444,21.807526,30.754322,58.98035,-2.8995388,27.535305,43.61808,28.287813,9.705229,7.760947,-2.2917216,73.899574,10.4524355,49.466454,46.18513,44.669785,45.67391,41.51273,12.822848,45.344227,1.7494655,29.353168,29.012108,28.108305,47.607655,39.01971,42.586014,37.213665,37.815895,36.412163,3.941165,46.30494,39.764244,32.366177,23.573597,7.605374,51.861782,56.780796,61.41528,40.61902,30.755404,53.55779
3,-17.076426,-1.3569852,-9.0355215,1.2625623,-9.699293,-2.0539265,-7.2731442,-5.6241417,-3.4499626,-8.458142,-3.583418,-7.6890326,-5.850639,-2.9111915,-2.6992452,-11.842273,-8.748468,-2.0397487,-10.908968,-8.233199,-11.818918,-0.34653124,-8.416696,-10.288635,-8.040762,-5.413688,1.0098718,-14.478018,-3.9564252,-15.30691,-6.7235484,-7.0372367,-8.22468,-13.074435,2.6743913,-5.9547615,-5.712045,-4.837407,1.1296493,2.0416045,-0.110545956,-12.044003,-1.7164454,-11.821472,-7.6947675,-5.77284,-16.642397,-8.890365,-6.091848,-11.654036,1.2133113,-6.31681,-2.102032,-9.229178,-11.191655,-13.125207,-8.428478,-1.9825908,-5.8537993,-7.499195,-2.9652,-14.878175,-6.709067,-7.7724404,-4.967932,-0.41588518,-7.8648105,-13.80658,-14.941504,-9.806977,-8.463095,-13.218421
4,-2.2786279,2.044713,-0.47969067,-0.07199498,-4.9953403,-2.4523523,-2.810149,-3.949415,1.0862434,-6.964154,-1.2360687,1.4201031,-2.1622243,-0.4719234,-3.0755658,-2.1023426,0.41822055,-0.24030644,-3.781808,-1.0881369,-0.5325831,1.7996289,-3.32762,-4.0179324,-0.16770488,-2.3456144,0.53407973,-2.7158787,0.24504732,-4.3862643,-2.6246653,0.6384919,1.2377312,1.7495878,-0.6582324,1.5499599,-3.469775,-2.4525843,-2.359309,-2.7712436,2.1196635,-3.3301837,1.662221,-2.9703555,-2.3343363,1.7021768,-1.5193564,-4.628591,-2.558576,-3.3671212,0.8608429,-1.6640851,1.2524436,-3.760036,-3.9519649,-2.2944415,-3.5374575,-6.8106623,0.3271966,3.4810357,1.1020542,1.1783466,0.09077798,-1.3257617,-1.5513169,0.41861674,-4.6444917,-0.025084238,2.4001918,-2.5815992,-0.25361854,0.18406382
5,-1.6034931,-1.2901467,-1.6388422,3.0646436,-1.564393,-2.2857597,-2.8258514,-3.694723,2.6038353,-0.718235,-1.2674028,-5.206196,-3.6161938,-1.7175801,1.3651721,-1.3806721,-3.9577756,-2.5255191,-3.965081,-3.116214,-1.6078577,1.4008278,-4.852569,0.9238028,1.576921,1.8367732,0.53714144,-2.7702858,0.5728765,-7.695096,0.9679915,1.0128341,-3.2703764,-1.7187953,-3.230771,-4.2444854,1.1007962,-0.8555333,3.0026472,2.0337398,3.097979,0.6799249,-2.331683,-4.906093,0.4231858,2.173425,-1.9319143,-5.788126,1.831926,1.644758,-1.7699648,-0.110564835,0.6410868,-1.2381524,-0.120859616,-5.047037,2.3962169,-7.5750365,-5.718383,1.2229513,-3.1906855,-1.2642409,0.62217605,-1.7911054,-3.6880693,0.7673082,-0.21103418,-4.544751,-1.1051708,-5.2408934,-4.121955,1.1302388
6,9.212234,1.5162811,6.1412716,2.6207154,6.6589684,1.6995053,12.020119,4.295489,2.6005204,8.319079,5.905071,5.7707896,4.984214,3.1082082,0.542691,12.224315,6.339041,1.6552687,6.4869666,8.727895,10.242435,5.4897647,4.0091224,4.219898,5.4378495,3.9809685,3.056724,14.939044,7.306076,4.07331,3.1067624,2.6079612,4.862088,6.5071254,-2.1840014,4.697903,10.297921,7.427378,3.116367,-1.1907458,0.740304,8.036785,3.0826097,9.053761,12.0957985,2.6016762,11.963719,10.594758,5.444745,3.7757087,-1.5693672,7.0867667,4.9270554,3.1276956,7.5485716,9.064433,14.471391,9.264377,12.432192,2.7214227,-0.5408893,5.3219953,4.905876,5.861495,6.7015343,-0.76300406,9.581844,9.142244,11.055632,3.8090055,8.381784,13.520137
7,12.221228,-0.3864446,6.3838906,-2.924383,4.7605977,4.192532,7.275638,3.4084604,1.8039331,10.088542,7.280625,9.9375305,7.9288187,4.0645847,-1.7711215,8.823161,10.240848,1.5850315,3.101291,11.163987,8.063176,4.8461785,2.6240396,7.470245,10.485231,4.942685,0.59112185,6.929228,6.23138,2.4846394,4.0247307,6.2027392,7.7835946,7.6108866,-1.315287,3.5444703,4.0988913,3.8276546,4.102774,0.31921613,1.6833639,12.249862,4.8640275,13.373038,10.650396,4.349707,-1.5816953,8.385942,1.5434527,8.328104,1.436007,4.360131,3.7993126,3.2004514,5.555658,1.141157,8.667464,13.900977,12.972217,1.4675591,-2.736138,8.860835,5.385692,5.5371785,3.729334,-2.1679866,9.662899,6.164436,6.8554935,3.0947163,7.2343445,6.252523
8,-44.36014,-7.0141726,-30.242603,-2.898851,-46.618423,-16.293793,-35.618275,-30.78439,-2.3934739,-38.097267,-30.34829,-33.069675,-29.037663,-7.0836387,-4.5528455,-39.713154,-32.70978,-12.309523,-33.301117,-31.98283,-28.016912,-9.684067,-26.451735,-26.13976,-37.1003,-5.907564,-5.474877,-48.214985,-18.308743,-30.430227,-26.109371,-10.177432,-22.085472,-42.76635,1.3181154,-14.934712,-33.73504,-21.615889,-5.42342,-3.019302,-1.658175,-50.02435,-11.288049,-38.642853,-34.159298,-29.313194,-28.293234,-32.842823,-9.688705,-29.982271,-1.969057,-23.48265,-23.368584,-24.31868,-29.747692,-25.500015,-30.689312,-29.376183,-28.461105,-24.909904,-1.8780327,-30.995222,-26.880875,-24.494467,-14.810221,-7.5611157,-35.699585,-42.72179,-45.25984,-27.23954,-19.18695,-44.496883
9,-24.198776,-6.231963,-16.908636,-1.2170764,-29.267889,-5.3080673,-16.369465,-16.133099,-3.2292764,-21.041069,-15.6131935,-19.465038,-16.881765,-8.240933,-0.31939462,-21.890934,-21.739841,-6.6698484,-20.404734,-21.007515,-14.36816,-3.8177617,-15.1352005,-10.553701,-21.765951,-2.3483002,-3.7644308,-24.279911,-12.218079,-18.407646,-14.782365,-9.338414,-10.898037,-23.498188,1.679527,-12.826836,-14.090867,-9.825263,-1.5792232,0.42824763,-0.26585102,-26.641644,-7.119057,-23.510437,-16.051516,-14.595638,-18.289207,-18.891556,-7.3323464,-14.689194,-0.060068764,-9.830847,-12.449326,-14.033876,-16.328117,-18.853497,-16.427254,-17.365541,-17.045954,-11.90927,-2.572114,-14.539655,-13.886708,-14.169228,-7.837045,-2.9009628,-18.728647,-26.281816,-26.012236,-17.84311,-16.46635,-18.998484
